"APPLIC";"NM_PAGINA_WEB";"NM_AZIONE_PAGINA";"DS_AZIONE_PAGINA"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"button/AmministrazioneEntiConvenzionatiForm#AccordoDetail/chiusuraAccordo";"Chiusura accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"button/AmministrazioneEntiConvenzionatiForm#AccordoDetail/ricalcoloServiziErogati";"Calcola servizi erogati da accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"button/AmministrazioneEntiConvenzionatiForm#UdButtonList/scaricaCompFileUdAccordo";"Scarica file unità documentaria"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"button/AmministrazioneEntiConvenzionatiForm#UdButtonList/scaricaCompFileUdAccordoAdozione";"Scarica file unità documentaria"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#AnnualitaAccordoList/delete";"Elimina annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#AnnualitaAccordoList/edit";"Modifica annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#AnnualitaAccordoList/insert";"Inserisci annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#AnnualitaAccordoList/view";"Visualizza annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#FattureAccordoList/view";"Dettaglio fattura accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#GestioniAccordoList/delete";"Elimina gestione accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#GestioniAccordoList/downloadFileGestAccDaLista";"Download gestione accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#GestioniAccordoList/edit";"Modifica gestione accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#GestioniAccordoList/insert";"Inserisci gestione accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#GestioniAccordoList/view";"Visualizza gestione accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#ServiziErogatiList/delete";"Elimina servizio erogato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#ServiziErogatiList/edit";"Modifica servizio erogato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#ServiziErogatiList/insert";"Inserisci servizio erogato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"detail/AmministrazioneEntiConvenzionatiForm#ServiziErogatiList/view";"Visualizza servizio erogato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"toolbar/delete";"Elimina accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"toolbar/edit";"Modifica accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"toolbar/insert";"Salva accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAccordo";"toolbar/update";"Salva modifica accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"button/AmministrazioneEntiConvenzionatiForm#AmbienteEnteConvenzionatoDetail/logEventiAmbiente";"Log eventi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"detail/AmministrazioneEntiConvenzionatiForm#ListaEntiConvenzionati/view";"Visualizza ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"detail/AmministrazioneEntiConvenzionatiForm#ParametriAmministrazioneAmbienteList/delete";"Cancella parametro di amministrazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"detail/AmministrazioneEntiConvenzionatiForm#ParametriConservazioneAmbienteList/delete";"Cancella parametro di conservazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"detail/AmministrazioneEntiConvenzionatiForm#ParametriGestioneAmbienteList/delete";"Cancella parametro di gestione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"toolbar/delete";"Elimina ambiente ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"toolbar/edit";"Modifica ambiente ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"toolbar/insert";"Salva ambiente ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAmbiente";"toolbar/update";"Salva modifica ambiente ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnagrafica";"toolbar/edit";"Modifica storicizzazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnagrafica";"toolbar/update";"Salva modifica storicizzazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnagraficaWizard";"toolbar/insert";"Salva storicizzazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnnualita";"toolbar/delete";"Elimina annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnnualita";"toolbar/edit";"Modifica annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnnualita";"toolbar/insert";"Salva annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAnnualita";"toolbar/update";"Salva modifica annualità"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaCollegamento";"toolbar/edit";"Modifica appartenenza al collegamento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaCollegamento";"toolbar/insert";"Salva appartenenza al collegamento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaEnte";"toolbar/delete";"Elimina appartenenza ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaEnte";"toolbar/edit";"Modifica appartenenza ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaEnte";"toolbar/insert";"Salva appartenenza ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioAppartenenzaEnte";"toolbar/update";"Salva modifica appartenenza ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"button/AmministrazioneEntiConvenzionatiForm#UtenteArchivistaDetail/rimuoviUtenteArchivista";"Rimuovi utente archivista"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"button/AmministrazioneEntiConvenzionatiForm#UtenteArchivistaDetail/selezionaUtenteArchivista";"Seleziona utente archivista"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"toolbar/edit";"Modifica utente archivista"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"toolbar/insert";"Salva utente archivista"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioArchivistaRiferimento";"toolbar/update";"Salva modifica utente archivista"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"detail/AmministrazioneEntiConvenzionatiForm#EntiCollegatiList/delete";"Elimina associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"detail/AmministrazioneEntiConvenzionatiForm#EntiCollegatiList/insert";"Inserisci associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"toolbar/delete";"Elimina collegamento ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"toolbar/edit";"Modifica collegamento ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"toolbar/insert";"Salva collegamento ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioCollegamentoEnte";"toolbar/update";"Salva modifica collegamento ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"button/AmministrazioneEntiConvenzionatiForm#DisciplinareTecnicoDetail/downloadFileDiscip";"Download file disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"button/AmministrazioneEntiConvenzionatiForm#UdButtonList/scaricaCompFileUdDiscip";"Scarica file unità documentaria"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"toolbar/delete";"Elimina disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"toolbar/edit";"Modifica disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"toolbar/insert";"Salva disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioDisciplinareTecnico";"toolbar/update";"Salva modifica disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#EnteConvenzionatoDetail/cambioAmbiente";"Cambio ambiente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#EnteConvenzionatoDetail/cambioGestore";"Cambio gestore"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#EnteConvenzionatoDetail/estraiRigheFattureEnte";"Estrai righe fatture"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#EnteConvenzionatoDetail/logEventi";"Log eventi"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#EnteConvenzionatoDetail/nuovoAccordo";"Nuovo accordo"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"button/AmministrazioneEntiConvenzionatiForm#FattureProvvisorieFields/calcoloFattureProvvisorie";"Calcola fatture provvisorie"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AccordiList/delete";"Elimina accordo ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AccordiList/edit";"Modifica accordo ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AccordiList/insert";"Inserisci accordo ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AccordiList/view";"Visualizza accordo ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AnagraficheList/edit";"Modifica anagrafica storicizzata"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AnagraficheList/insert";"Storicizza anagrafica"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#AnagraficheList/view";"Visualizza anagrafica ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#CollegamentiEnteAppartList/delete";"Elimina associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#CollegamentiEnteAppartList/edit";"Modifica associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#CollegamentiEnteAppartList/insert";"Inserisci associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#CollegamentiEnteAppartList/view";"Visualizza associazione ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#DisciplinariTecniciList/delete";"Elimina disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#DisciplinariTecniciList/edit";"Modifica disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#DisciplinariTecniciList/insert";"Inserisci disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#DisciplinariTecniciList/view";"Visualizza disciplinare tecnico"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#EntiCessatiList/view";"Visualizza ente convenzionato cessato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#FornitoriEsterniList/view";"Visualizza fornitore esterno"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ModuliInformazioniList/delete";"Elimina modulo informazioni"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ModuliInformazioniList/downloadFileModuloDaLista";"Download modulo informazioni"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ModuliInformazioniList/edit";"Modifica modulo informazioni"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ModuliInformazioniList/insert";"Inserisci modulo informazioni"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ModuliInformazioniList/view";"Visualizza modulo informazioni"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#OrganiVigilanzaList/view";"Visualizza organo di vigilanza"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#OrganizzazioniVersantiList/org";"Visualizza dettaglio organizzazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ParametriAmministrazioneList/delete";"Cancella parametro di amministrazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ParametriConservazioneList/delete";"Cancella parametro di conservazione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ParametriGestioneList/delete";"Cancella parametro di gestione"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ReferentiEnteList/delete";"Elimina referente ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ReferentiEnteList/downloadFileReferenteDaLista";"Download file"																																													   
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ReferentiEnteList/edit";"Modifica referente ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ReferentiEnteList/insert";"Inserisci referente ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#ReferentiEnteList/view";"Visualizza referente ente"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#SoggettiAttuatoriList/view";"Visualizza soggetto attuatore"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiArchivistiList/delete";"Elimina archivista di riferimento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiArchivistiList/edit";"Modifica archivista di riferimento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiArchivistiList/insert";"Inserisci archivista di riferimento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiArchivistiList/view";"Visualizza archivista di riferimento"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiAutomaList/view";"Visualizza utente di tipo automa abilitato sull'ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiEnteList/view";"Visualizza utente appartenenti all'ente convenzionato"
"SACER_IAM";"/amministrazioneEntiConvenzionati/dettaglioEnteConvenzionato";"detail/AmministrazioneEntiConvenzionatiForm#UtentiList/view";"Visualizza utente abilitato sull'ente convenzionato"
