"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"SACER_IAM";"Menu";"Menu principale";1;1;"";""
"SACER_IAM";"Menu.AmministrazioneSistema";"Amministrazione sistema";2;5;"Menu";""
"SACER_IAM";"Menu.AmministrazioneSistema.AllineaComponentiApplicazione";"Gestione allineamento componenti";3;5;"Menu.AmministrazioneSistema";"AllineaComponenti.html?operation=allineaComponentiApplicazione&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneAmbientiEntiConvenzionati";"Gestione ambienti";3;4;"Menu.AmministrazioneSistema";"AmministrazioneEntiConvenzionati.html?operation=ricercaAmbientiEntiConvenzionatiPage&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneAmbitoTerritoriale";"Gestione ambito territoriale";3;9;"Menu.AmministrazioneSistema";"GestioneAmbitoTerritoriale.html?operation=gestioneAmbitoTerritoriale&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneClasseEnteConvenzionato";"Gestione classi ente convenzionato";3;6;"Menu.AmministrazioneSistema";"AmministrazioneClasseEnte.html?operation=ricercaClasseEnteConvenzionatoPage&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneHelpOnLine";"Gestione help on line";3;10;"Menu.AmministrazioneSistema";"GestioneHelpOnLine.html?operation=initOnClick&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneJob";"Gestione Job legacy";3;2;"Menu.AmministrazioneSistema";"GestioneJob.html?operation=initOnClick&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneJobRicerca";"Gestione Job";3;1;"Menu.AmministrazioneSistema";"GestioneJob.html?operation=gestioneJobRicercaPage&amp;cleanhistory=true"
"SACER_IAM";"Menu.AmministrazioneSistema.GestioneNews";"Gestione news";3;11;"Menu.AmministrazioneSistema";"GestioneNews.html?operation=ricercaNewsPage&amp;cleanhistory=true"
