"APPLIC";"NM_SERVIZIO_WEB";"DS_SERVIZIO_WEB"
"SACER_IAM";"AllineaRuolo";"Allinea ruoli tra ambienti"
"SACER_IAM";"AllineamentoEnteConvenzionato";"Allineamento ente convenzionato"
"SACER_IAM";"AppInfo";"Informazioni dell'applicazione"
"SACER_IAM";"CalcoloServiziErogati";"Calcolo servizi erogati"
"SACER_IAM";"OrganizzazioniAbilitateMach";"Organizzazioni abilitate microservizio"
"SACER_IAM";"RecuperoAbilitazioniTipiDato";"Recupero abilitazioni sui tipi di dato"
"SACER_IAM";"RecuperoAutorizzazioni";"Recupero autorizzazioni per un utente di una applicazione e per una eventuale organizzazione"
"SACER_IAM";"RecuperoHelp";"Recupero Help On line per un utente di una applicazione"
"SACER_IAM";"ReplicaOrganizzazione";"Replica organizzazioni"
"SACER_IAM";"RestituzioneNewsApplicazione";"Restituzione news di una applicazione"
"SACER_IAM";"StatusMonitor";"Status dell'applicazione ai fini di monitoraggio esterno"
"SACER_IAM";"TipiDatoAbilitatiMach";"Tipi dato abilitati microservizio"
